Tau,alpha,Fidelity,Params
0.2,0.0,0.7965401469499751,"{'Delta0': np.float64(-42.96751129780086), 'delta0': np.float64(1479.07072577983), 'Omega0': np.float64(127.54855169458374), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.125,0.8302750416061832,"{'Delta0': np.float64(-45.52131765899735), 'delta0': np.float64(1475.346608260925), 'Omega0': np.float64(129.55669762992147), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.25,0.8577267861346958,"{'Delta0': np.float64(-50.23160469621865), 'delta0': np.float64(1469.3472452904568), 'Omega0': np.float64(132.4177688389638), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.375,0.8795129123516683,"{'Delta0': np.float64(-56.14779712453217), 'delta0': np.float64(1461.946161682091), 'Omega0': np.float64(136.1707741183799), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.5,0.8965507509672083,"{'Delta0': np.float64(-61.515025227164436), 'delta0': np.float64(1454.7187076494804), 'Omega0': np.float64(140.33172490269607), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.625,0.9094478540369337,"{'Delta0': np.float64(-65.15833392930634), 'delta0': np.float64(1448.6990410253673), 'Omega0': np.float64(144.2811889598505), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.75,0.9186934852943461,"{'Delta0': np.float64(-67.29820297708487), 'delta0': np.float64(1443.767946059687), 'Omega0': np.float64(148.08221944753632), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.875,0.9248084053832788,"{'Delta0': np.float64(-67.61524214971745), 'delta0': np.float64(1440.2395960667475), 'Omega0': np.float64(151.523021351513), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,1.0,0.9283253036370217,"{'Delta0': np.float64(-66.02632561013189), 'delta0': np.float64(1438.2332254970695), 'Omega0': np.float64(154.4977775294685), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.0,0.8977284990765729,"{'Delta0': np.float64(-134.9731044372072), 'delta0': np.float64(1502.0106407679837), 'Omega0': np.float64(174.0441340525593), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.125,0.93488304925564,"{'Delta0': np.float64(-136.46436085946775), 'delta0': np.float64(1473.3582848506978), 'Omega0': np.float64(385.560215978283), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.25,0.9090661976687621,"{'Delta0': np.float64(-20.123176622689527), 'delta0': np.float64(1493.829231717644), 'Omega0': np.float64(88.6681843448403), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.375,0.9253304339411909,"{'Delta0': np.float64(-17.13433836012204), 'delta0': np.float64(1493.6743064801847), 'Omega0': np.float64(92.24283034296694), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.5,0.9392264929204419,"{'Delta0': np.float64(-13.206771677490163), 'delta0': np.float64(1494.3006337868883), 'Omega0': np.float64(95.33251774490469), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.625,0.9495831427762338,"{'Delta0': np.float64(-10.688765315388085), 'delta0': np.float64(1493.5786766255155), 'Omega0': np.float64(98.21767402116188), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.75,0.9564584733002122,"{'Delta0': np.float64(-10.83508850539453), 'delta0': np.float64(1490.3325834650457), 'Omega0': np.float64(101.14399395295122), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.875,0.960895033925808,"{'Delta0': np.float64(-11.21174249824046), 'delta0': np.float64(1486.7832165531206), 'Omega0': np.float64(103.86432209810646), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,1.0,0.9907341517021522,"{'Delta0': np.float64(-523.9589112859838), 'delta0': np.float64(1158.9933714396998), 'Omega0': np.float64(276.5544813977016), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.0,0.9869101672101962,"{'Delta0': np.float64(-58.93247709010823), 'delta0': np.float64(1495.5495822702349), 'Omega0': np.float64(219.31136150069798), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.125,0.9558259283987613,"{'Delta0': np.float64(-165.25963497219897), 'delta0': np.float64(1414.2429773039182), 'Omega0': np.float64(233.8271624958477), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.25,0.9353761878318424,"{'Delta0': np.float64(-5.1261285044795475), 'delta0': np.float64(1506.9430852559017), 'Omega0': np.float64(71.7842689676584), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.375,0.9471738924545369,"{'Delta0': np.float64(-5.483822192747834), 'delta0': np.float64(1503.686009672507), 'Omega0': np.float64(75.04333433815378), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.5,0.96920669283921,"{'Delta0': np.float64(-456.3183277244832), 'delta0': np.float64(1297.904253815636), 'Omega0': np.float64(420.7945821066239), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.625,0.9629923911567847,"{'Delta0': np.float64(-5.243673782316339), 'delta0': np.float64(1497.7917673436352), 'Omega0': np.float64(80.69819554231543), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.75,0.967874374753175,"{'Delta0': np.float64(-4.798150295236538), 'delta0': np.float64(1495.0571313994387), 'Omega0': np.float64(83.12751640061461), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.875,0.9709454309267797,"{'Delta0': np.float64(-4.403251702584388), 'delta0': np.float64(1492.2295382405587), 'Omega0': np.float64(85.3385363860251), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,1.0,0.991290430894219,"{'Delta0': np.float64(-872.6193788236474), 'delta0': np.float64(798.1414440906716), 'Omega0': np.float64(307.0787321916675), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.0,0.9880491175542222,"{'Delta0': np.float64(-116.47228286454086), 'delta0': np.float64(1439.8289275199913), 'Omega0': np.float64(164.27245301714782), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.125,0.9572688556259855,"{'Delta0': np.float64(-356.1114763327718), 'delta0': np.float64(1227.9392374610184), 'Omega0': np.float64(192.26765808171655), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.25,0.9474502821887743,"{'Delta0': np.float64(-2.3419489477392945), 'delta0': np.float64(1509.4053352216592), 'Omega0': np.float64(62.56880616925752), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.375,0.9618278663635104,"{'Delta0': np.float64(-642.9362855593623), 'delta0': np.float64(1186.3670158876337), 'Omega0': np.float64(405.2597327569436), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.5,0.9680441883443895,"{'Delta0': np.float64(-771.1046048851211), 'delta0': np.float64(960.9071158084614), 'Omega0': np.float64(299.6637783040262), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.625,0.9694359748534227,"{'Delta0': np.float64(-2.367293927534144), 'delta0': np.float64(1500.231802876164), 'Omega0': np.float64(70.5621195270335), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.75,0.9732872727633903,"{'Delta0': np.float64(-2.2235745048132207), 'delta0': np.float64(1497.2183188693318), 'Omega0': np.float64(72.77370900763903), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.875,0.9757417740310667,"{'Delta0': np.float64(-2.1413402175243883), 'delta0': np.float64(1494.1119993838088), 'Omega0': np.float64(74.79881495910664), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,1.0,0.9910853325918955,"{'Delta0': np.float64(-1433.936827260308), 'delta0': np.float64(230.64081109639693), 'Omega0': np.float64(299.29080784928425), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.0,0.9877368564283125,"{'Delta0': np.float64(-164.81727543546194), 'delta0': np.float64(1389.0293424990814), 'Omega0': np.float64(154.45962220840886), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.125,0.9573468766831768,"{'Delta0': np.float64(-529.186767906729), 'delta0': np.float64(1052.7829002745623), 'Omega0': np.float64(186.8935067622876), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.25,0.9553584967115873,"{'Delta0': np.float64(-612.9206548776464), 'delta0': np.float64(1235.9013291718347), 'Omega0': np.float64(434.3913367077108), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
