init_state;err_2q_nn;err_2q_nnn;err_3q;Z_1;Z_2;X_1;X_2;X_L;Z_L
+;0;0;0;1;1;1;1;1;0
+;0.0031249999999999334;0.01737500000000003;0.02902500000000005;1;1;1;1;0.502672;0
+;0.00031249999999999334;0.001737500000000003;0.0029025000000000053;1;1;1;1;0.986023;0
+;0.000031249999999999337;0.0001737500000000003;0.0002902500000000005;1;1;1;1;0.999844;0
+;0.0000031249999999999337;0.00001737500000000003;0.00002902500000000005;1;1;1;1;0.999998604666;0
+;0.00000031249999999999336;0.000001737500000000003;0.0000029025000000000052;1;1;1;1;0.999999984048;0
+;0.0009882117688025974;0.005494457434542569;0.009178510908638738;1;1;1;1;0.893626099989;0
+;9.882117688025974e-05;0.0005494457434542568;0.0009178510908638736;1.0;1.0;1.0;1.0;0.998470537235;0.0
+;9.882117688025976e-06;5.4944574345425685e-05;9.178510908638737e-05;1.0;1.0;1.0;1.0;0.999984113721;-0.0
+;9.882117688025974e-07;5.494457434542569e-06;9.178510908638737e-06;1.0;1.0;1.0;1.0;0.99999984053;-0.0
