"Tau","Fidelity","Params"
"0.2","0.4463647973009652","{'Delta0': np.float64(-32.13516294816707), 'delta0': np.float64(1488.3579345648802), 'Omega0': np.float64(127.0534455582854), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"0.6","0.876189140509606","{'Delta0': np.float64(-1482.431337370941), 'delta0': np.float64(833.5102685888448), 'Omega0': np.float64(628.2890690655476), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"1","0.889416349824148","{'Delta0': np.float64(-1570.7963267948317), 'delta0': np.float64(599.4906162291481), 'Omega0': np.float64(627.5417243963992), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"1.5","0.9021063142862928","{'Delta0': np.float64(-426.6025620315235), 'delta0': np.float64(1252.1380695675787), 'Omega0': np.float64(149.73215866881523), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"2","0.9031245140601872","{'Delta0': np.float64(-678.142702740868), 'delta0': np.float64(989.8174058401601), 'Omega0': np.float64(129.18101908171562), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"2.5","0.9038264445583069","{'Delta0': np.float64(-1003.1867533979255), 'delta0': np.float64(656.6526319663182), 'Omega0': np.float64(112.99471150937839), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"3","0.9037779486969668","{'Delta0': np.float64(-1411.415209185925), 'delta0': np.float64(247.50866512119728), 'Omega0': np.float64(111.82057481400767), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"3.5","0.8909999370389526","{'Delta0': np.float64(-1570.7888857008966), 'delta0': np.float64(92.37255276305757), 'Omega0': np.float64(165.60448737755428), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"4","0.877935676555795","{'Delta0': np.float64(-1570.7740361434664), 'delta0': np.float64(92.6120071223376), 'Omega0': np.float64(245.61809928953247), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"4.5","0.8685158487417849","{'Delta0': np.float64(-1570.7671624188854), 'delta0': np.float64(82.4974673884445), 'Omega0': np.float64(288.8579025167861), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
"5","0.8606943178090803","{'Delta0': np.float64(-1570.7730459790444), 'delta0': np.float64(70.5746419826736), 'Omega0': np.float64(317.41221027696724), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.128, 'Omega_MW': 3141.592653589793}"
