Tau,Fidelity,Params
0.2,0.4494988156876256,"{'Delta0': np.float64(-31.8913486833344), 'delta0': np.float64(1488.6447810511493), 'Omega0': np.float64(127.02871975574932), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
0.6,0.9250585777434126,"{'Delta0': np.float64(-1481.5759133006181), 'delta0': np.float64(834.1925419607659), 'Omega0': np.float64(628.316262300711), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
1.0,0.9592903723062574,"{'Delta0': np.float64(-1570.788014062607), 'delta0': np.float64(599.6912416107549), 'Omega0': np.float64(628.3009168662542), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
1.5,0.9957324077028881,"{'Delta0': np.float64(-419.4954658455942), 'delta0': np.float64(1267.6753753022788), 'Omega0': np.float64(179.63742805281265), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
2.0,0.9970244702017534,"{'Delta0': np.float64(-634.7523093794352), 'delta0': np.float64(1042.3051961807653), 'Omega0': np.float64(171.30802589697439), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
2.5,0.9975491865914509,"{'Delta0': np.float64(-946.0525484991387), 'delta0': np.float64(724.4019768399163), 'Omega0': np.float64(154.44120979578145), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
3.0,0.9979344395113914,"{'Delta0': np.float64(-1347.5187289395444), 'delta0': np.float64(318.3471329468488), 'Omega0': np.float64(139.569082710965), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
"3.5","0.9968092611423656","{'Delta0': np.float64(-1570.790326305936), 'delta0': np.float64(99.16619806500627), 'Omega0': np.float64(188.42321966510352), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}
"
"4","0.995445412339063","{'Delta0': np.float64(-1570.7902892814473), 'delta0': np.float64(95.00306707084951), 'Omega0': np.float64(257.5762730302558), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}
"
"4.5","0.9948096833711749","{'Delta0': np.float64(-1570.698589170801), 'delta0': np.float64(84.04699464796418), 'Omega0': np.float64(299.29767597345034), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
5.0,0.9999999583670756,"{'Delta0': np.float64(-181.74728986679133), 'delta0': np.float64(1463.4671746104254), 'Omega0': np.float64(513.5276241242257), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
