Tau,Fidelity,Params
0.2,0.8302750416061832,"{'Delta0': np.float64(-45.52131765899735), 'delta0': np.float64(1475.346608260925), 'Omega0': np.float64(129.55669762992147), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.9558259283987612,"{'Delta0': np.float64(-165.25963497219897), 'delta0': np.float64(1414.2429773039182), 'Omega0': np.float64(233.8271624958477), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.9573468766831768,"{'Delta0': np.float64(-529.186767906729), 'delta0': np.float64(1052.7829002745623), 'Omega0': np.float64(186.8935067622876), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.5,0.9581739517650922,"{'Delta0': np.float64(-1553.07976577721), 'delta0': np.float64(35.25204434660268), 'Omega0': np.float64(157.09635508495865), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.9741688451873344,"{'Delta0': np.float64(-227.21065450391967), 'delta0': np.float64(1316.4840710368633), 'Omega0': np.float64(85.01756775561185), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.5,0.9736309450113616,"{'Delta0': np.float64(-339.69334556634453), 'delta0': np.float64(1203.3778519867324), 'Omega0': np.float64(84.02383051766981), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
3.0,0.973231955722958,"{'Delta0': np.float64(-472.4725790881994), 'delta0': np.float64(1070.1166207032657), 'Omega0': np.float64(83.50078307447363), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
3.5,0.9729439172818992,"{'Delta0': np.float64(-636.1007106848498), 'delta0': np.float64(906.309223966934), 'Omega0': np.float64(83.16807570574888), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
4.0,0.9727286914655608,"{'Delta0': np.float64(-819.3284749422486), 'delta0': np.float64(722.8808021863704), 'Omega0': np.float64(82.96576380456438), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
4.5,0.9725664140828568,"{'Delta0': np.float64(-1030.816729727841), 'delta0': np.float64(511.2957462989352), 'Omega0': np.float64(82.82655713046056), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
5.0,0.9747091930808268,"{'Delta0': np.float64(-19.79001165943618), 'delta0': np.float64(1510.6232207970113), 'Omega0': np.float64(42.2818804271674), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
